HINDI,English
में,In
है,Is
हैं,Are
नहीं,No
लिए,For
गया,Went
तथा,And
अपने,Our
कुछ,Some?
साथ,with
होता,Would
था,Was
दिया,Gave
हुए,happened
कोई,Any
रूप,Form
से,From
मैं,I
रहा,Stayed
हुआ,Happened
बात,talk
कहा,Said
समय,Time
क्या,What
अपनी,Own
होती,would have been
प्रकार,Type
बहुत,Very
तरह,Kind
बाद,after
फिर,Then
रहे,are
द्वारा,By
अधिक,More
रही,doing
होने,to be
एवं,And
हुई,Hui
थे,Were
उनके,Their
थी,Was
वाले,ones
चाहिए,Needed
दिन,Day
लेकिन,But
काम,Work
हूँ,am
होते,would have been
इसके,Its
उन्हें,Them
गये,gone
कभी,Sometimes
आदि,Etcetera
लोग,People
बार,Times
यहाँ,Here
दोनों,Both
उन्होंने,They
कार्य,Work
पास,Near
वहाँ,There
भारत,India
लिया,took
प्राप्त,get
उनकी,their
लोगों,people
गयी,went
लगा,Put
अन्य,Other
होगा,will be
इसी,This 
देश,Country
यदि,If
सभी,All
नाम,Name
वर्ष,Year
ऐसा,As such
विकास,Development
अपना,own
ऐसे,This way
दूसरे,Others
हाथ,Hand
भाषा,Language
मेरे,My
मैंने,I
तुम,You
बीच,between
वाली,the one
बड़े,elder
प्रति,Per
व्यक्ति,Person
उनका,their
लिये,for
इसलिए,so
तीन,Three
इसका,Its
ऐसी,Such
विशेष,Specific
बड़ी,Big
अथवा,Or
भाग,Part
क्योंकि,Because
सिंह,Lion
ठीक,Correct
स्थिति,Situation
परन्तु,but
स्थान,place
यही,This only
क्यों,Why
गाँव,Village
राज्य,State
अलग,apart
लेकर,taking
अभी,Now!
इसमें,In this
विभिन्न,various
सी,C
विचार,Idea
जिस,That
बाहर,Outside
ऊपर,Above
बना,made
तैयार,Ready
अनेक,many
सामने,Front
शिक्षा,Education
शरीर,Body
होकर,after being
दृष्टि,Vision
श्री,Mister
थीं,were
दूर,away
शब्द,Word
ध्यान,Attention
चार,Four
मेरी,My
बड़ा,Big
पता,Address
लगता,it seems
आगे,Ahead
किया,Did
उत्तर,Answer
किन्तु,but
आने,to come
लगे,engaged
लगभग,About
इसे,This
लाख,Lakh
बारे,about
होना,Happen
इससे,From this
मात्रा,amount
अध्ययन,Study
वाला,the one
जिसमें,in which
नीचे,Below
अर्थ,Meaning
लोक,Folk
आवश्यक,Necessary
हो,yes
माँ,Mother
छोटे,small
प्रतिशत,Percent
शुरू,Start
अगर,If
इतना,This much
आया,Came
होगी,will happen
मिल,mill
स्वयं,Self
रात,Night
बिना,Without
हमें,Us
उपयोग,Use
किए,did
महत्वपूर्ण,Important
मुख्य,main
साल,Year
ज्यादा,More
साहित्य,Literature
पूर्व,East
निर्माण,Construction
विषय,Subject
जिससे,By which
देख,See
चित्र,Picture
लगी,felt
प्रत्येक,Everyone
मनुष्य,man
गई,Went
स्पष्ट,clear
दिनों,days
रंग,Colour
इसकी,his
स्तर,level
मेरा,My
दूसरी,second
अच्छा,Good
रोग,Disease
काल,period
अच्छी,Good
विज्ञान,Science
भाई,Brother
ज्ञान,Knowledge
दिल्ली,Delhi
बनाने,make
रुपये,Rupees
रखा,kept
आवश्यकता,Need
आता,Comes
कौन,Who
हों,be
आर्थिक,Economic
सहायता,Help
अतिरिक्त,Excessive
देर,Late
तरफ,Side
लेने,to take
चला,walked
सामाजिक,Social
समझ,Understanding
मगर,But
आते,coming
बच्चे,Children
कला,Art
पत्र,Letter
भीतर,within
संस्कृति,Culture
उनमें,In those
वर्ग,Social class
विभाग,Department
चाहता,wants
सिर,Head
बताया,told
जगह,Place
वही,Same
इतनी,So much
स्थापित,Established
राष्ट्रीय,National
स्वर,Vocal
क्षेत्रों,areas
जिसके,whose
जन्म,Birth
जाए,go
दौरान,during
गांधी,Gandhi
हाँ,Yes
जनता,public
किस,What
केन्द्र,Center
साहब,Sir
पूर्ण,full
पुलिस,Police
बोला,spoke
थईआ,theia
कमी,Shortage
समस्या,Problem
